match_id,competition,season,period,minute,is_shootout,shootout_kick_order,team,kicker,kicker_id,body_part,outcome,end_y,direction
3754088,Premier League,2015/2016,1,8,False,,Manchester United,Wayne Mark Rooney,3538.0,Right Foot,Goal,42.0,L
3754088,Premier League,2015/2016,2,66,False,,Newcastle United,Aleksandar Mitrović,4269.0,Right Foot,Goal,42.5,L
3754110,Premier League,2015/2016,1,8,False,,Manchester City,Sergio Leonel Agüero del Castillo,3237.0,Right Foot,Goal,37.0,R
3754123,Premier League,2015/2016,1,43,False,,Everton,Leighton Baines,3518.0,Left Foot,Goal,39.7,C
3754127,Premier League,2015/2016,1,10,False,,Everton,Romelu Lukaku Menama,3289.0,Left Foot,Goal,40.1,C
3754132,Premier League,2015/2016,2,93,False,,Sunderland,Jermain Defoe,3337.0,Right Foot,Goal,42.4,L
3754147,Premier League,2015/2016,2,52,False,,Tottenham Hotspur,Harry Kane,10955.0,Right Foot,Goal,42.1,L
3754155,Premier League,2015/2016,2,66,False,,West Bromwich Albion,Saido Berahino,4630.0,Right Foot,Saved,38.2,R
3754155,Premier League,2015/2016,2,86,False,,West Bromwich Albion,Saido Berahino,4630.0,Right Foot,Saved,43.4,L
3754163,Premier League,2015/2016,1,16,False,,Swansea City,Gylfi Þór Sigurðsson,3944.0,Right Foot,Goal,36.4,R
3754168,Premier League,2015/2016,1,34,False,,Southampton,James Ward-Prowse,3328.0,Right Foot,Goal,36.7,R
3754170,Premier League,2015/2016,2,69,False,,Crystal Palace,Yohan Cabaye,3277.0,Right Foot,Saved,42.3,L
3754172,Premier League,2015/2016,1,40,False,,Sunderland,Fabio Borini,7171.0,Right Foot,Goal,36.5,R
3754220,Premier League,2015/2016,2,95,False,,Liverpool,Christian Benteke Liolo,3380.0,Right Foot,Goal,43.4,L
3754225,Premier League,2015/2016,1,42,False,,West Bromwich Albion,Craig Gardner,9485.0,Right Foot,Saved to Post,36.5,R
3754227,Premier League,2015/2016,2,83,False,,West Ham United,Andy Carroll,4271.0,Left Foot,Goal,43.2,L
3754227,Premier League,2015/2016,2,94,False,,Leicester City,José Leonardo Ulloa,3671.0,Right Foot,Goal,43.5,L
3754229,Premier League,2015/2016,2,65,False,,Chelsea,Francesc Fàbregas i Soler,3478.0,Right Foot,Goal,36.8,R
3754243,Premier League,2015/2016,2,85,False,,Newcastle United,Aleksandar Mitrović,4269.0,Right Foot,Goal,43.5,L
3754249,Premier League,2015/2016,2,72,False,,Manchester City,Sergio Leonel Agüero del Castillo,3237.0,Right Foot,Post,44.1,L
3754250,Premier League,2015/2016,1,32,False,,Leicester City,Riyad Mahrez,3814.0,Left Foot,Saved,38.4,R
3754252,Premier League,2015/2016,2,87,False,,Everton,Ross Barkley,4275.0,Right Foot,Goal,37.5,R
3754252,Premier League,2015/2016,2,93,False,,Everton,Ross Barkley,4275.0,Right Foot,Goal,40.0,C
3754261,Premier League,2015/2016,1,44,False,,Leicester City,Jamie Vardy,10960.0,Right Foot,Goal,42.0,L
3754277,Premier League,2015/2016,2,68,False,,Everton,Romelu Lukaku Menama,3289.0,Left Foot,Saved,38.1,R
3754307,Premier League,2015/2016,1,42,False,,Manchester City,Sergio Leonel Agüero del Castillo,3237.0,Right Foot,Goal,37.2,R
3754308,Premier League,2015/2016,2,60,False,,Watford,Troy Deeney,3454.0,Right Foot,Goal,42.8,L
3754317,Premier League,2015/2016,1,29,False,,Tottenham Hotspur,Harry Kane,10955.0,Right Foot,Goal,42.6,L
3754321,Premier League,2015/2016,2,50,False,,Stoke City,Marko Arnautović,3325.0,Right Foot,Goal,38.8,C
3754322,Premier League,2015/2016,2,79,False,,Manchester City,Sergio Leonel Agüero del Castillo,3237.0,Right Foot,Goal,36.7,R
3754333,Premier League,2015/2016,2,72,False,,Newcastle United,Georginio Wijnaldum,3567.0,Right Foot,Goal,43.1,L
3754348,Premier League,2015/2016,2,53,False,,Norwich City,Wes Hoolahan,10966.0,Left Foot,Goal,41.8,L
3754078,Premier League,2015/2016,2,54,False,,Swansea City,Bafétimbi Gomis,20521.0,Right Foot,Goal,42.5,L
18241,Champions League,2013/2014,4,119,False,,Real Madrid,Cristiano Ronaldo dos Santos Aveiro,5207.0,Right Foot,Goal,42.4,L
3922240,African Cup of Nations,2023,1,45,False,,Egypt,Mostafa Mohamed Ahmed Abdallah,66886.0,Right Foot,Goal,43.3,L
3922240,African Cup of Nations,2023,5,120,True,2.0,Egypt,Mohamed Abdelmonem,69563.0,Right Foot,Goal,36.5,R
3922240,African Cup of Nations,2023,5,121,True,1.0,Congo DR,Samuel Moutoussamy,4412.0,Left Foot,Goal,43.7,L
3922240,African Cup of Nations,2023,5,121,True,3.0,Egypt,Mostafa Mohamed Ahmed Abdallah,66886.0,Right Foot,Off T,45.1,L
3922240,African Cup of Nations,2023,5,122,True,2.0,Congo DR,Arthur Masuaku,3587.0,Left Foot,Off T,41.2,C
3922240,African Cup of Nations,2023,5,123,True,4.0,Egypt,Omar Marmoush,40761.0,Right Foot,Goal,36.5,R
